Title,Location,Company,Salary,Rating,Summary,Description
Design Gráfico,"São Paulo, SP",Futura Estágios,R$ 800 por mês,"4,3","Atividade: Divulgação em redes sociais, administração de Blog, Faceook, Instagran, Linkedin e Sites. Desenvolvimento de artes, Layouts. Marketing digital e visual. Noções e Habilidades necessárias…",None
Estagiário Estágio em Marketing /,"São Paulo, SP",SAEE Estágios,R$ 1.000 por mês,None,"Vaga para estudante de Estágio em Marketing / Web design à partir do 1º semestre.Auxílio em Fotoshop, Edição de Imagem, Ilustration, Edição de vídeo, Web Design.",None
Estagiário(a) de Engenharia Elétrica,"São Paulo, SP",Water Design,None,None,Cursando no mínimo 3º ano de Engenharia Elétrica.,None
2873 - Consultor CX Analytics,"São Paulo, SP",GLOBAL HITSS,None,"3,5","Conhecimento e experiência no uso de técnicas e Ferramentas de design thinking, design sprints, entre outras.Conhecimento de metodologias de design de serviços, agile/lean, pesquisas com usuários e…",None
Desenvolvedor(a) sênior Back-end Ruby on Rails (remoto),"São Paulo, SP",GeekHunter,R$ 13.000 - R$ 15.000 por ano,None,"Empower the engineering team to achieve a high level of technical productivity, reliability, and simplicity.Help in the process of recruiting great engineers.",None
K.E. - Estágio - Auxiliar de Mecatrônica/ Eletrônica,"Guarulhos, SP",Inter Estágios,R$ 860 por mês,None,"Descrição da vaga: A K.E. surgiu no mercado com a proposta de levar aos laboratórios de prótese dentária de todo o país o melhor em design e qualidade. Presente nos melhores laboratórios do Brasil,…",None
Estágio em Marketing Digital,Estado de São Paulo,Marjan Farma,None,"4,1",Sob supervisão realizar o briefing aos profissionais de design para a produção das artes das redes sociais (posts nas plataformas);Sob supervisão desenvolver e executar estratégias de marketing…,None
Design,"São Paulo, SP",Futura Estágios,R$ 800 por mês,"4,3","Atividade: Divulgação em redes sociais, administração de Blog, Faceook, Instagran, Linkedin e Sites. Desenvolvimento de artes, Layouts. Marketing digital e visual. Noções e Habilidades necessárias…",None
Tecnologia em Web Design,"São Paulo, SP",Futura Estágios,R$ 800 por mês,"4,3","Atividade: Divulgação em redes sociais, administração de Blog, Faceook, Instagran, Linkedin e Sites. Desenvolvimento de artes, Layouts. Marketing digital e visual. Noções e Habilidades necessárias…",None
Design Digital,"São Paulo, SP",Futura Estágios,R$ 800 por mês,"4,3","Atividade: Divulgação em redes sociais, administração de Blog, Faceook, Instagran, Linkedin e Sites. Desenvolvimento de artes, Layouts. Marketing digital e visual. Noções e Habilidades necessárias…",None
Tecnólogo em Design,"São Paulo, SP",Futura Estágios,R$ 800 por mês,"4,3","Atividade: Divulgação em redes sociais, administração de Blog, Faceook, Instagran, Linkedin e Sites. Desenvolvimento de artes, Layouts. Marketing digital e visual. Noções e Habilidades necessárias…",None
Tecnólogo em Design,"São Paulo, SP",Futura Estágios,R$ 800 por mês,"4,3","Atividade: Divulgação em redes sociais, administração de Blog, Faceook, Instagran, Linkedin e Sites. Desenvolvimento de artes, Layouts. Marketing digital e visual. Noções e Habilidades necessárias…",None
Product Designer UI/UX SR,"São Paulo, SP",PRONTMED,None,None,"Seu foco será criar experiências significativas por meio do design de interface em tudo o que fala sobre nós de modo visual (Plataforma, APP, Site, etc.), projetando e implementando interfaces que…",None
2710 - Designer Lead,"São Paulo, SP",GLOBAL HITSS,None,"3,5",Responsável por liderar um projeto de design de produtos digitais com design centrado no usuário e coordenação da equipe;Promover a cultura de design dentro do produto e empresa.,None
Design Digital,"São Paulo, SP",Futura Estágios,R$ 800 por mês,"4,3","Atividade: Divulgação em redes sociais, administração de Blog, Faceook, Instagran, Linkedin e Sites. Desenvolvimento de artes, Layouts. Marketing digital e visual. Noções e Habilidades necessárias…",None
Estágiario(a),"São Paulo, SP",Divulga Vagas,None,None,"SOBRE A EMPIRICUS: Publicamos ideias de investimento independentes com um único objetivo: fazer com que você tenha acesso a estratégias tão boas quanto às dos investidores profissionais. E, para…",None
QA Engineer - Engenheiro de Qualidade de Software,"São Paulo, SP",InstaCarro,None,None,Experiência comprovada em garantia de qualidade de software.Experiência trabalhando em um processo de desenvolvimento Ágil / Scrum.Experiência de automação de teste de API REST intermediária.,None
Product Owner,"São Paulo, SP",Delivery Center,None,"3,8","Conhecimentos em processos e frameworks de design.Ser o responsável por maximizar o resultado de um produto, seja na produtividade com o time de criação e desenvolvimento, seja na relação com…",None
Design,"São Paulo, SP",Futura Estágios,R$ 800 por mês,"4,3","Atividade: Divulgação em redes sociais, administração de Blog, Faceook, Instagran, Linkedin e Sites. Desenvolvimento de artes, Layouts. Marketing digital e visual. Noções e Habilidades necessárias…",None
2873 - Consultor CX Analytics,"São Paulo, SP",GLOBAL HITSS,None,"3,5","Conhecimento e experiência no uso de técnicas e Ferramentas de design thinking, design sprints, entre outras.Conhecimento de metodologias de design de serviços, agile/lean, pesquisas com usuários e…",None
Direção de Criaçao,"Barueri, SP",Agência vm2,None,"3,0",Coordenar designers para atender as necessidades dos clientes da célula que representa.Acompanhamento das artes desenvolvidas pelo seu time (célula) -Apresentação de Propostas e defesa junto ao…,None
Pesquisador/Designer UX e UI,"São Paulo, SP",100 Open Startups,None,None,"Descrição: Será responsável pelos estudos de usabilidade, aplicação de testes com usuários, mapeamento de personas e desenvolvimento dos layouts e protótipos de interfaces da plataforma e das…",None
2372 - Desenvolvedor Mobile Senior,"São Paulo, SP",GLOBAL HITSS,None,"3,5",Comunicar o design de uma forma que os outros membros da equipe compreendam;Testes automatizados (jest/sinon/cucumber/stryker);Integrar o sistema com os novos componentes de software produzidos ou…,None
Programador Moodle,"Barueri, SP",Agência vm2,None,"3,0","NET, padrão de desenvolvimento em camadas e design patterns MVC, desenvolvimento para Web usando ASP.NET.Atuará com desenvolvimento em ambiente Microsoft C#, Visual Basic, ASP.",None
Desenvolvedor(a) sênior Back-end Ruby on Rails (remoto),"São Paulo, SP",GeekHunter,R$ 13.000 - R$ 15.000 por ano,None,"Empower the engineering team to achieve a high level of technical productivity, reliability, and simplicity.Help in the process of recruiting great engineers.",None
2661 - Agile Coach,"São Paulo, SP",GLOBAL HITSS,None,"3,5","Certificações: SAFE, PSM, CSM, PMP-DA, KMP;Experiência em processos de transformação ágil, capacitação de times e suporte a adoção de frameworks ágeis;",None
Estágio em Suporte Técnico Grid Automation,"São Paulo, SP",GE Renewable Energy,None,"3,8",Excelentes habilidades de design e programação de software.Apoiar nossos clientes na solução de dúvidas técnicas relacionadas aos produtos GE Grid Automation.,None
Estagiário Estágio de Marketing Dinova,"São Paulo, SP",SAEE Estágios,None,None,"Auxiliar no planejamento, execução e monitoramento das campanhas no Google Ads e Facebook Ads.",None
Estágiario(a),"São Paulo, SP",Divulga Vagas,None,None,"SOBRE A EMPIRICUS: Publicamos ideias de investimento independentes com um único objetivo: fazer com que você tenha acesso a estratégias tão boas quanto às dos investidores profissionais. E, para…",None
Design,"São Paulo, SP",Futura Estágios,R$ 800 por mês,"4,3","Atividade: Divulgação em redes sociais, administração de Blog, Faceook, Instagran, Linkedin e Sites. Desenvolvimento de artes, Layouts. Marketing digital e visual. Noções e Habilidades necessárias…",None
Programa de Estágio em SAP | Transformadores Digitais,"São Paulo, SP",Exed Consulting,None,"4,0",Temos por propósito transformar o mundo por meio da tecnologia!Colocar a mão na massa para ajudar na implementação destas tecnologias em equipe;Conhecimentos em Design Thinking; (DIFERENCIAL).,None
Estágio de Marketing,"São Bernardo do Campo, SP",Canaltech,None,None,"Reportando ao time de marketing do Canaltech, e com o suporte dos times de redação, design e vídeo, o estagiário irá auxiliar na criação de peças publicitárias para o site, canal do Youtube e mídias…",None
2966 - Desenvolvedor Full Stack,"São Paulo, SP",GLOBAL HITSS,None,"3,5","Criar recursos e aplicativos com design voltado a dispositivos móveis.Experiência comprovada como desenvolvedor full stack ou função similar;Conhecimento em linguagens back-end como: Java, .",None
Estagiário Estágio em Marketing /,"São Paulo, SP",SAEE Estágios,R$ 1.000 por mês,None,"Vaga para estudante de Estágio em Marketing / Web design à partir do 1º semestre.Auxílio em Fotoshop, Edição de Imagem, Ilustration, Edição de vídeo, Web Design.",None
DIVERSIDADE RACIAL - Programa de estágio tech,"São Paulo, SP",Amzn Servicos de Varejo do Bra,None,"3,5","Knowledge of Computer Science fundamentals such as object-oriented design, algorithm design, data structures, problem solving, and complexity analysis.",None
2873 - Consultor CX Analytics,"São Paulo, SP",GLOBAL HITSS,None,"3,5","Conhecimento e experiência no uso de técnicas e Ferramentas de design thinking, design sprints, entre outras.Conhecimento de metodologias de design de serviços, agile/lean, pesquisas com usuários e…",None
Estágio em Marketing Digital,Estado de São Paulo,Marjan Farma,None,"4,1",Sob supervisão realizar o briefing aos profissionais de design para a produção das artes das redes sociais (posts nas plataformas);Sob supervisão desenvolver e executar estratégias de marketing…,None
Estagiário(a) de Engenharia Elétrica,"São Paulo, SP",Water Design,None,None,Cursando no mínimo 3º ano de Engenharia Elétrica.,None
K.E. - Estágio - Auxiliar de Mecatrônica/ Eletrônica,"Guarulhos, SP",Inter Estágios,R$ 860 por mês,None,"Descrição da vaga: A K.E. surgiu no mercado com a proposta de levar aos laboratórios de prótese dentária de todo o país o melhor em design e qualidade. Presente nos melhores laboratórios do Brasil,…",None
2372 - Desenvolvedor Mobile Senior,"São Paulo, SP",GLOBAL HITSS,None,"3,5",Comunicar o design de uma forma que os outros membros da equipe compreendam;Testes automatizados (jest/sinon/cucumber/stryker);Integrar o sistema com os novos componentes de software produzidos ou…,None
Desenvolvedor(a) sênior Back-end Ruby on Rails (remoto),"São Paulo, SP",GeekHunter,R$ 13.000 - R$ 15.000 por ano,None,"Empower the engineering team to achieve a high level of technical productivity, reliability, and simplicity.Help in the process of recruiting great engineers.",None
